C C
C1CNCNC1 C1NC[CH2:1][CH2:1]N1
C1CNC[NH2+]C1 C1C[CH2:1][NH2+]CN1
C1CNN=N1 C1C[NH:1]N=N1
C1CNNC1 C1CN[NH:1]C1
C1CNNC1 C1C[CH2:1]NN1
C1CNNC1 C1NNC[CH2:1]1
C1CNNC1 C1NN[CH2:1][CH2:1]1
C1CNNCN1 C1NNC[CH2:1]N1
C1CNNN1 C1NNN[CH2:1]1
C1CNNN1 N1N[CH2:1][CH2:1]N1
C1CNNNC1 C1CNN[NH:1]C1
C1CNNNC1 C1C[CH2:1]NNN1
C1CNPOC1 C1CN[PH:1]OC1
C1CNPOC1 C1C[CH2:1]NPO1
C1CNSC1 C1C[CH2:1]NS1
C1CNSC1 C1C[CH2:1]SN1
C1CNSC1 C1NSC[CH2:1]1
C1CNSC1 C1NS[CH2:1][CH2:1]1
C1CNSC1 C1SN[CH2:1][CH2:1]1
C1CNSN1 C1NSN[CH2:1]1
C1CNSN1 N1SN[CH2:1][CH2:1]1
C1CO1 C1O[CH2:1]1
C1CO1 O1[CH2:1][CH2:1]1
C1COC1 C1C[CH2:1]O1
C1COC1 C1OC[CH2:1]1
C1COCCN1 C1COC[CH2:1]N1
C1COCCN1 C1CO[CH2:1]CN1
C1COCCN1 C1CO[CH2:1][CH2:1]N1
C1COCCN1 C1C[NH:1]CCO1
C1COCCO1 C1CO[CH2:1]CO1
C1COCCO1 C1CO[CH2:1][CH2:1]O1
C1COCO1 C1CO[CH2:1]O1
C1COCO1 C1OC[CH2:1]O1
C1COCO1 C1O[CH2:1][CH2:1]O1
C1COCOC1 C1C[CH2:1]OCO1
C1COCOC1 C1OC[CH2:1]CO1
C1COO1 C1OO[CH2:1]1
C1COO1 O1O[CH2:1][CH2:1]1
C1COSOC1 C1CO[S:1]OC1
C1COSOC1 C1C[CH2:1]OSO1
C1CS1 C1S[CH2:1]1
C1CSCCS1 C1CS[CH2:1]CS1
C1CSCN1 C1CS[CH2:1]N1
C1CSCN1 C1C[NH:1]CS1
C1CSCN1 C1C[NH:1][CH2:1]S1
C1CSCN1 C1NC[CH2:1]S1
C1CSCN1 C1N[CH2:1]CS1
C1CSCN1 C1N[CH2:1][CH2:1]S1
C1CSCS1 C1CS[CH2:1]S1
C1CSC[NH2+]1 C1CS[CH2:1][NH2+]1
C1C[NH2+]CCN1 C1C[NH2+:1]CCN1
C1C[NH2+]CC[NH2+]1 C1C[NH2+][CH2:1]C[NH2+]1
